This algorithm checks if G_PQ = 0 for relevant varieties.
The number Omega of essential conditions is fixed
and the condition I[1] < ... < I[Omega] < K <= J[1] <
< ... < J[Omega] < L is imposed.
I := [1], K := 2, J := [3], L := 4
I := [2], K := 5, J := [6], L := 10
I := [3], K := 5, J := [6], L := 10
I := [4], K := 5, J := [6], L := 10
I := [1], K := 4, J := [7], L := 10
I := [2], K := 4, J := [7], L := 10
I := [3], K := 4, J := [7], L := 10
I := [2], K := 5, J := [7], L := 10
I := [3], K := 5, J := [7], L := 10
I := [4], K := 5, J := [7], L := 10
I := [3], K := 6, J := [7], L := 10
I := [4], K := 6, J := [7], L := 10
I := [5], K := 6, J := [7], L := 10
I := [1], K := 3, J := [8], L := 10
I := [2], K := 3, J := [8], L := 10
I := [2], K := 4, J := [8], L := 10
I := [3], K := 4, J := [8], L := 10
I := [3], K := 5, J := [8], L := 10
I := [4], K := 5, J := [8], L := 10
I := [4], K := 6, J := [8], L := 10
I := [5], K := 6, J := [8], L := 10
I := [5], K := 7, J := [8], L := 10
I := [6], K := 7, J := [8], L := 10
I := [1], K := 2, J := [9], L := 10
I := [2], K := 3, J := [9], L := 10
I := [3], K := 4, J := [9], L := 10
I := [4], K := 5, J := [9], L := 10
I := [5], K := 6, J := [9], L := 10
I := [6], K := 7, J := [9], L := 10
I := [7], K := 8, J := [9], L := 10
I := [1], K := 5, J := [7], L := 11
I := [2], K := 5, J := [7], L := 11
I := [3], K := 5, J := [7], L := 11
I := [4], K := 5, J := [7], L := 11
I := [2], K := 6, J := [7], L := 11
I := [3], K := 6, J := [7], L := 11
I := [4], K := 6, J := [7], L := 11
I := [5], K := 6, J := [7], L := 11
I := [1], K := 4, J := [8], L := 11
I := [2], K := 4, J := [8], L := 11
I := [3], K := 4, J := [8], L := 11
I := [2], K := 5, J := [8], L := 11
I := [3], K := 5, J := [8], L := 11
I := [4], K := 5, J := [8], L := 11
I := [3], K := 6, J := [8], L := 11
I := [4], K := 6, J := [8], L := 11
I := [5], K := 6, J := [8], L := 11
I := [4], K := 7, J := [8], L := 11
I := [5], K := 7, J := [8], L := 11
I := [6], K := 7, J := [8], L := 11
I := [1], K := 3, J := [9], L := 11
I := [2], K := 3, J := [9], L := 11
I := [2], K := 4, J := [9], L := 11
I := [3], K := 4, J := [9], L := 11
I := [3], K := 5, J := [9], L := 11
I := [4], K := 5, J := [9], L := 11
I := [4], K := 6, J := [9], L := 11
I := [5], K := 6, J := [9], L := 11
I := [5], K := 7, J := [9], L := 11
I := [6], K := 7, J := [9], L := 11
I := [6], K := 8, J := [9], L := 11
I := [7], K := 8, J := [9], L := 11
I := [1], K := 2, J := [10], L := 11
I := [2], K := 3, J := [10], L := 11
I := [3], K := 4, J := [10], L := 11
I := [4], K := 5, J := [10], L := 11
I := [5], K := 6, J := [10], L := 11
I := [6], K := 7, J := [10], L := 11
I := [7], K := 8, J := [10], L := 11
I := [8], K := 9, J := [10], L := 11
I := [1], K := 6, J := [7], L := 12
I := [2], K := 6, J := [7], L := 12
I := [3], K := 6, J := [7], L := 12
I := [4], K := 6, J := [7], L := 12
I := [5], K := 6, J := [7], L := 12
I := [1], K := 5, J := [8], L := 12
I := [2], K := 5, J := [8], L := 12
I := [3], K := 5, J := [8], L := 12
I := [4], K := 5, J := [8], L := 12
I := [2], K := 6, J := [8], L := 12
I := [3], K := 6, J := [8], L := 12
I := [4], K := 6, J := [8], L := 12
I := [5], K := 6, J := [8], L := 12
I := [3], K := 7, J := [8], L := 12
I := [4], K := 7, J := [8], L := 12
I := [5], K := 7, J := [8], L := 12
I := [6], K := 7, J := [8], L := 12
I := [1], K := 4, J := [9], L := 12
I := [2], K := 4, J := [9], L := 12
I := [3], K := 4, J := [9], L := 12
I := [2], K := 5, J := [9], L := 12
I := [3], K := 5, J := [9], L := 12
I := [4], K := 5, J := [9], L := 12
I := [3], K := 6, J := [9], L := 12
I := [4], K := 6, J := [9], L := 12
I := [5], K := 6, J := [9], L := 12
I := [4], K := 7, J := [9], L := 12
I := [5], K := 7, J := [9], L := 12
I := [6], K := 7, J := [9], L := 12
I := [5], K := 8, J := [9], L := 12
I := [6], K := 8, J := [9], L := 12
I := [7], K := 8, J := [9], L := 12
I := [1], K := 3, J := [10], L := 12
I := [2], K := 3, J := [10], L := 12
I := [2], K := 4, J := [10], L := 12
I := [3], K := 4, J := [10], L := 12
I := [3], K := 5, J := [10], L := 12
I := [4], K := 5, J := [10], L := 12
I := [4], K := 6, J := [10], L := 12
I := [5], K := 6, J := [10], L := 12
I := [5], K := 7, J := [10], L := 12
I := [6], K := 7, J := [10], L := 12
I := [6], K := 8, J := [10], L := 12
I := [7], K := 8, J := [10], L := 12
I := [7], K := 9, J := [10], L := 12
I := [8], K := 9, J := [10], L := 12
I := [1], K := 2, J := [11], L := 12
I := [2], K := 3, J := [11], L := 12
I := [3], K := 4, J := [11], L := 12
I := [4], K := 5, J := [11], L := 12
I := [5], K := 6, J := [11], L := 12
I := [6], K := 7, J := [11], L := 12
I := [7], K := 8, J := [11], L := 12
I := [8], K := 9, J := [11], L := 12
I := [9], K := 10, J := [11], L := 12
I := [1], K := 6, J := [8], L := 13
I := [2], K := 6, J := [8], L := 13
I := [3], K := 6, J := [8], L := 13
I := [4], K := 6, J := [8], L := 13
I := [5], K := 6, J := [8], L := 13
I := [2], K := 7, J := [8], L := 13
I := [3], K := 7, J := [8], L := 13
I := [4], K := 7, J := [8], L := 13
I := [5], K := 7, J := [8], L := 13
I := [6], K := 7, J := [8], L := 13
I := [1], K := 5, J := [9], L := 13
I := [2], K := 5, J := [9], L := 13
I := [3], K := 5, J := [9], L := 13
I := [4], K := 5, J := [9], L := 13
I := [2], K := 6, J := [9], L := 13
I := [3], K := 6, J := [9], L := 13
I := [4], K := 6, J := [9], L := 13
I := [5], K := 6, J := [9], L := 13
I := [3], K := 7, J := [9], L := 13
I := [4], K := 7, J := [9], L := 13
I := [5], K := 7, J := [9], L := 13
I := [6], K := 7, J := [9], L := 13
I := [4], K := 8, J := [9], L := 13
I := [5], K := 8, J := [9], L := 13
I := [6], K := 8, J := [9], L := 13
I := [7], K := 8, J := [9], L := 13
I := [1], K := 4, J := [10], L := 13
I := [2], K := 4, J := [10], L := 13
I := [3], K := 4, J := [10], L := 13
I := [2], K := 5, J := [10], L := 13
I := [3], K := 5, J := [10], L := 13
I := [4], K := 5, J := [10], L := 13
I := [3], K := 6, J := [10], L := 13
I := [4], K := 6, J := [10], L := 13
I := [5], K := 6, J := [10], L := 13
I := [4], K := 7, J := [10], L := 13
I := [5], K := 7, J := [10], L := 13
I := [6], K := 7, J := [10], L := 13
I := [5], K := 8, J := [10], L := 13
I := [6], K := 8, J := [10], L := 13
I := [7], K := 8, J := [10], L := 13
I := [6], K := 9, J := [10], L := 13
I := [7], K := 9, J := [10], L := 13
I := [8], K := 9, J := [10], L := 13
I := [1], K := 3, J := [11], L := 13
I := [2], K := 3, J := [11], L := 13
I := [2], K := 4, J := [11], L := 13
I := [3], K := 4, J := [11], L := 13
I := [3], K := 5, J := [11], L := 13
I := [4], K := 5, J := [11], L := 13
I := [4], K := 6, J := [11], L := 13
I := [5], K := 6, J := [11], L := 13
I := [5], K := 7, J := [11], L := 13
I := [6], K := 7, J := [11], L := 13
I := [6], K := 8, J := [11], L := 13
I := [7], K := 8, J := [11], L := 13
I := [7], K := 9, J := [11], L := 13
I := [8], K := 9, J := [11], L := 13
I := [8], K := 10, J := [11], L := 13
I := [9], K := 10, J := [11], L := 13
I := [1], K := 2, J := [12], L := 13
I := [2], K := 3, J := [12], L := 13
I := [3], K := 4, J := [12], L := 13
I := [4], K := 5, J := [12], L := 13
I := [5], K := 6, J := [12], L := 13
I := [6], K := 7, J := [12], L := 13
I := [7], K := 8, J := [12], L := 13
I := [8], K := 9, J := [12], L := 13
I := [9], K := 10, J := [12], L := 13
I := [10], K := 11, J := [12], L := 13
I := [1], K := 7, J := [8], L := 14
I := [2], K := 7, J := [8], L := 14
I := [3], K := 7, J := [8], L := 14
I := [4], K := 7, J := [8], L := 14
I := [5], K := 7, J := [8], L := 14
I := [6], K := 7, J := [8], L := 14
I := [1], K := 6, J := [9], L := 14
I := [2], K := 6, J := [9], L := 14
I := [3], K := 6, J := [9], L := 14
I := [4], K := 6, J := [9], L := 14
I := [5], K := 6, J := [9], L := 14
I := [2], K := 7, J := [9], L := 14
I := [3], K := 7, J := [9], L := 14
I := [4], K := 7, J := [9], L := 14
I := [5], K := 7, J := [9], L := 14
I := [6], K := 7, J := [9], L := 14
I := [3], K := 8, J := [9], L := 14
I := [4], K := 8, J := [9], L := 14
I := [5], K := 8, J := [9], L := 14
I := [6], K := 8, J := [9], L := 14
I := [7], K := 8, J := [9], L := 14
I := [1], K := 5, J := [10], L := 14
I := [2], K := 5, J := [10], L := 14
I := [3], K := 5, J := [10], L := 14
I := [4], K := 5, J := [10], L := 14
I := [2], K := 6, J := [10], L := 14
I := [3], K := 6, J := [10], L := 14
I := [4], K := 6, J := [10], L := 14
I := [5], K := 6, J := [10], L := 14
I := [3], K := 7, J := [10], L := 14
I := [4], K := 7, J := [10], L := 14
I := [5], K := 7, J := [10], L := 14
I := [6], K := 7, J := [10], L := 14
I := [4], K := 8, J := [10], L := 14
I := [5], K := 8, J := [10], L := 14
I := [6], K := 8, J := [10], L := 14
I := [7], K := 8, J := [10], L := 14
I := [5], K := 9, J := [10], L := 14
I := [6], K := 9, J := [10], L := 14
I := [7], K := 9, J := [10], L := 14
I := [8], K := 9, J := [10], L := 14
I := [1], K := 4, J := [11], L := 14
I := [2], K := 4, J := [11], L := 14
I := [3], K := 4, J := [11], L := 14
I := [2], K := 5, J := [11], L := 14
I := [3], K := 5, J := [11], L := 14
I := [4], K := 5, J := [11], L := 14
I := [3], K := 6, J := [11], L := 14
I := [4], K := 6, J := [11], L := 14
I := [5], K := 6, J := [11], L := 14
I := [4], K := 7, J := [11], L := 14
I := [5], K := 7, J := [11], L := 14
I := [6], K := 7, J := [11], L := 14
I := [5], K := 8, J := [11], L := 14
I := [6], K := 8, J := [11], L := 14
I := [7], K := 8, J := [11], L := 14
I := [6], K := 9, J := [11], L := 14
I := [7], K := 9, J := [11], L := 14
I := [8], K := 9, J := [11], L := 14
I := [7], K := 10, J := [11], L := 14
I := [8], K := 10, J := [11], L := 14
I := [9], K := 10, J := [11], L := 14
I := [1], K := 3, J := [12], L := 14
I := [2], K := 3, J := [12], L := 14
I := [2], K := 4, J := [12], L := 14
I := [3], K := 4, J := [12], L := 14
I := [3], K := 5, J := [12], L := 14
I := [4], K := 5, J := [12], L := 14
I := [4], K := 6, J := [12], L := 14
I := [5], K := 6, J := [12], L := 14
I := [5], K := 7, J := [12], L := 14
I := [6], K := 7, J := [12], L := 14
I := [6], K := 8, J := [12], L := 14
I := [7], K := 8, J := [12], L := 14
I := [7], K := 9, J := [12], L := 14
I := [8], K := 9, J := [12], L := 14
I := [8], K := 10, J := [12], L := 14
I := [9], K := 10, J := [12], L := 14
I := [9], K := 11, J := [12], L := 14
I := [10], K := 11, J := [12], L := 14
I := [1], K := 2, J := [13], L := 14
I := [2], K := 3, J := [13], L := 14
I := [3], K := 4, J := [13], L := 14
I := [4], K := 5, J := [13], L := 14
I := [5], K := 6, J := [13], L := 14
I := [6], K := 7, J := [13], L := 14
I := [7], K := 8, J := [13], L := 14
I := [8], K := 9, J := [13], L := 14
I := [9], K := 10, J := [13], L := 14
I := [10], K := 11, J := [13], L := 14
I := [11], K := 12, J := [13], L := 14
I := [1], K := 7, J := [9], L := 15
I := [2], K := 7, J := [9], L := 15
I := [3], K := 7, J := [9], L := 15
I := [4], K := 7, J := [9], L := 15
I := [5], K := 7, J := [9], L := 15
I := [6], K := 7, J := [9], L := 15
I := [2], K := 8, J := [9], L := 15
I := [3], K := 8, J := [9], L := 15
I := [4], K := 8, J := [9], L := 15
I := [5], K := 8, J := [9], L := 15
I := [6], K := 8, J := [9], L := 15
I := [7], K := 8, J := [9], L := 15
I := [1], K := 6, J := [10], L := 15
I := [2], K := 6, J := [10], L := 15
I := [3], K := 6, J := [10], L := 15
I := [4], K := 6, J := [10], L := 15
I := [5], K := 6, J := [10], L := 15
I := [2], K := 7, J := [10], L := 15
I := [3], K := 7, J := [10], L := 15
I := [4], K := 7, J := [10], L := 15
I := [5], K := 7, J := [10], L := 15
I := [6], K := 7, J := [10], L := 15
I := [3], K := 8, J := [10], L := 15
I := [4], K := 8, J := [10], L := 15
I := [5], K := 8, J := [10], L := 15
I := [6], K := 8, J := [10], L := 15
I := [7], K := 8, J := [10], L := 15
I := [4], K := 9, J := [10], L := 15
I := [5], K := 9, J := [10], L := 15
I := [6], K := 9, J := [10], L := 15
I := [7], K := 9, J := [10], L := 15
I := [8], K := 9, J := [10], L := 15
I := [1], K := 5, J := [11], L := 15
I := [2], K := 5, J := [11], L := 15
I := [3], K := 5, J := [11], L := 15
I := [4], K := 5, J := [11], L := 15
I := [2], K := 6, J := [11], L := 15
I := [3], K := 6, J := [11], L := 15
I := [4], K := 6, J := [11], L := 15
I := [5], K := 6, J := [11], L := 15
I := [3], K := 7, J := [11], L := 15
I := [4], K := 7, J := [11], L := 15
I := [5], K := 7, J := [11], L := 15
I := [6], K := 7, J := [11], L := 15
I := [4], K := 8, J := [11], L := 15
I := [5], K := 8, J := [11], L := 15
I := [6], K := 8, J := [11], L := 15
I := [7], K := 8, J := [11], L := 15
I := [5], K := 9, J := [11], L := 15
I := [6], K := 9, J := [11], L := 15
I := [7], K := 9, J := [11], L := 15
I := [8], K := 9, J := [11], L := 15
I := [6], K := 10, J := [11], L := 15
I := [7], K := 10, J := [11], L := 15
I := [8], K := 10, J := [11], L := 15
I := [9], K := 10, J := [11], L := 15
I := [1], K := 4, J := [12], L := 15
I := [2], K := 4, J := [12], L := 15
I := [3], K := 4, J := [12], L := 15
I := [2], K := 5, J := [12], L := 15
I := [3], K := 5, J := [12], L := 15
I := [4], K := 5, J := [12], L := 15
I := [3], K := 6, J := [12], L := 15
I := [4], K := 6, J := [12], L := 15
I := [5], K := 6, J := [12], L := 15
I := [4], K := 7, J := [12], L := 15
I := [5], K := 7, J := [12], L := 15
I := [6], K := 7, J := [12], L := 15
I := [5], K := 8, J := [12], L := 15
I := [6], K := 8, J := [12], L := 15
I := [7], K := 8, J := [12], L := 15
I := [6], K := 9, J := [12], L := 15
I := [7], K := 9, J := [12], L := 15
I := [8], K := 9, J := [12], L := 15
I := [7], K := 10, J := [12], L := 15
I := [8], K := 10, J := [12], L := 15
I := [9], K := 10, J := [12], L := 15
I := [8], K := 11, J := [12], L := 15
I := [9], K := 11, J := [12], L := 15
I := [10], K := 11, J := [12], L := 15
I := [1], K := 3, J := [13], L := 15
I := [2], K := 3, J := [13], L := 15
I := [2], K := 4, J := [13], L := 15
I := [3], K := 4, J := [13], L := 15
I := [3], K := 5, J := [13], L := 15
I := [4], K := 5, J := [13], L := 15
I := [4], K := 6, J := [13], L := 15
I := [5], K := 6, J := [13], L := 15
I := [5], K := 7, J := [13], L := 15
I := [6], K := 7, J := [13], L := 15
I := [6], K := 8, J := [13], L := 15
I := [7], K := 8, J := [13], L := 15
I := [7], K := 9, J := [13], L := 15
I := [8], K := 9, J := [13], L := 15
I := [8], K := 10, J := [13], L := 15
I := [9], K := 10, J := [13], L := 15
I := [9], K := 11, J := [13], L := 15
I := [10], K := 11, J := [13], L := 15
I := [10], K := 12, J := [13], L := 15
I := [11], K := 12, J := [13], L := 15
I := [1], K := 2, J := [14], L := 15
I := [2], K := 3, J := [14], L := 15
I := [3], K := 4, J := [14], L := 15
I := [4], K := 5, J := [14], L := 15
I := [5], K := 6, J := [14], L := 15
I := [6], K := 7, J := [14], L := 15
I := [7], K := 8, J := [14], L := 15
I := [8], K := 9, J := [14], L := 15
I := [9], K := 10, J := [14], L := 15
I := [10], K := 11, J := [14], L := 15
I := [11], K := 12, J := [14], L := 15
I := [12], K := 13, J := [14], L := 15
I := [1], K := 8, J := [9], L := 16
I := [2], K := 8, J := [9], L := 16
I := [3], K := 8, J := [9], L := 16
I := [4], K := 8, J := [9], L := 16
I := [5], K := 8, J := [9], L := 16
I := [6], K := 8, J := [9], L := 16
I := [7], K := 8, J := [9], L := 16
I := [1], K := 7, J := [10], L := 16
I := [2], K := 7, J := [10], L := 16
I := [3], K := 7, J := [10], L := 16
I := [4], K := 7, J := [10], L := 16
I := [5], K := 7, J := [10], L := 16
I := [6], K := 7, J := [10], L := 16
I := [2], K := 8, J := [10], L := 16
I := [3], K := 8, J := [10], L := 16
I := [4], K := 8, J := [10], L := 16
I := [5], K := 8, J := [10], L := 16
I := [6], K := 8, J := [10], L := 16
I := [7], K := 8, J := [10], L := 16
I := [3], K := 9, J := [10], L := 16
I := [4], K := 9, J := [10], L := 16
I := [5], K := 9, J := [10], L := 16
I := [6], K := 9, J := [10], L := 16
I := [7], K := 9, J := [10], L := 16
I := [8], K := 9, J := [10], L := 16
I := [1], K := 6, J := [11], L := 16
I := [2], K := 6, J := [11], L := 16
I := [3], K := 6, J := [11], L := 16
I := [4], K := 6, J := [11], L := 16
I := [5], K := 6, J := [11], L := 16
I := [2], K := 7, J := [11], L := 16
I := [3], K := 7, J := [11], L := 16
I := [4], K := 7, J := [11], L := 16
I := [5], K := 7, J := [11], L := 16
I := [6], K := 7, J := [11], L := 16
I := [3], K := 8, J := [11], L := 16
I := [4], K := 8, J := [11], L := 16
I := [5], K := 8, J := [11], L := 16
I := [6], K := 8, J := [11], L := 16
I := [7], K := 8, J := [11], L := 16
I := [4], K := 9, J := [11], L := 16
I := [5], K := 9, J := [11], L := 16
I := [6], K := 9, J := [11], L := 16
I := [7], K := 9, J := [11], L := 16
I := [8], K := 9, J := [11], L := 16
I := [5], K := 10, J := [11], L := 16
I := [6], K := 10, J := [11], L := 16
I := [7], K := 10, J := [11], L := 16
I := [8], K := 10, J := [11], L := 16
I := [9], K := 10, J := [11], L := 16
I := [1], K := 5, J := [12], L := 16
I := [2], K := 5, J := [12], L := 16
I := [3], K := 5, J := [12], L := 16
I := [4], K := 5, J := [12], L := 16
I := [2], K := 6, J := [12], L := 16
I := [3], K := 6, J := [12], L := 16
I := [4], K := 6, J := [12], L := 16
I := [5], K := 6, J := [12], L := 16
I := [3], K := 7, J := [12], L := 16
I := [4], K := 7, J := [12], L := 16
I := [5], K := 7, J := [12], L := 16
I := [6], K := 7, J := [12], L := 16
I := [4], K := 8, J := [12], L := 16
I := [5], K := 8, J := [12], L := 16
I := [6], K := 8, J := [12], L := 16
I := [7], K := 8, J := [12], L := 16
I := [5], K := 9, J := [12], L := 16
I := [6], K := 9, J := [12], L := 16
I := [7], K := 9, J := [12], L := 16
I := [8], K := 9, J := [12], L := 16
I := [6], K := 10, J := [12], L := 16
I := [7], K := 10, J := [12], L := 16
I := [8], K := 10, J := [12], L := 16
I := [9], K := 10, J := [12], L := 16
I := [7], K := 11, J := [12], L := 16
I := [8], K := 11, J := [12], L := 16
I := [9], K := 11, J := [12], L := 16
I := [10], K := 11, J := [12], L := 16
I := [1], K := 4, J := [13], L := 16
I := [2], K := 4, J := [13], L := 16
I := [3], K := 4, J := [13], L := 16
I := [2], K := 5, J := [13], L := 16
I := [3], K := 5, J := [13], L := 16
I := [4], K := 5, J := [13], L := 16
I := [3], K := 6, J := [13], L := 16
I := [4], K := 6, J := [13], L := 16
I := [5], K := 6, J := [13], L := 16
I := [4], K := 7, J := [13], L := 16
I := [5], K := 7, J := [13], L := 16
I := [6], K := 7, J := [13], L := 16
I := [5], K := 8, J := [13], L := 16
I := [6], K := 8, J := [13], L := 16
I := [7], K := 8, J := [13], L := 16
I := [6], K := 9, J := [13], L := 16
I := [7], K := 9, J := [13], L := 16
I := [8], K := 9, J := [13], L := 16
I := [7], K := 10, J := [13], L := 16
I := [8], K := 10, J := [13], L := 16
I := [9], K := 10, J := [13], L := 16
I := [8], K := 11, J := [13], L := 16
I := [9], K := 11, J := [13], L := 16
I := [10], K := 11, J := [13], L := 16
I := [9], K := 12, J := [13], L := 16
I := [10], K := 12, J := [13], L := 16
I := [11], K := 12, J := [13], L := 16
I := [1], K := 3, J := [14], L := 16
I := [2], K := 3, J := [14], L := 16
I := [2], K := 4, J := [14], L := 16
I := [3], K := 4, J := [14], L := 16
I := [3], K := 5, J := [14], L := 16
I := [4], K := 5, J := [14], L := 16
I := [4], K := 6, J := [14], L := 16
I := [5], K := 6, J := [14], L := 16
I := [5], K := 7, J := [14], L := 16
I := [6], K := 7, J := [14], L := 16
I := [6], K := 8, J := [14], L := 16
I := [7], K := 8, J := [14], L := 16
I := [7], K := 9, J := [14], L := 16
I := [8], K := 9, J := [14], L := 16
I := [8], K := 10, J := [14], L := 16
I := [9], K := 10, J := [14], L := 16
I := [9], K := 11, J := [14], L := 16
I := [10], K := 11, J := [14], L := 16
I := [10], K := 12, J := [14], L := 16
I := [11], K := 12, J := [14], L := 16
I := [11], K := 13, J := [14], L := 16
I := [12], K := 13, J := [14], L := 16
I := [1], K := 2, J := [15], L := 16
I := [2], K := 3, J := [15], L := 16
I := [3], K := 4, J := [15], L := 16
I := [4], K := 5, J := [15], L := 16
I := [5], K := 6, J := [15], L := 16
I := [6], K := 7, J := [15], L := 16
I := [7], K := 8, J := [15], L := 16
I := [8], K := 9, J := [15], L := 16
I := [9], K := 10, J := [15], L := 16
I := [10], K := 11, J := [15], L := 16
I := [11], K := 12, J := [15], L := 16
I := [12], K := 13, J := [15], L := 16
I := [13], K := 14, J := [15], L := 16
I := [1], K := 8, J := [10], L := 17
I := [2], K := 8, J := [10], L := 17
I := [3], K := 8, J := [10], L := 17
I := [4], K := 8, J := [10], L := 17
I := [5], K := 8, J := [10], L := 17
I := [6], K := 8, J := [10], L := 17
I := [7], K := 8, J := [10], L := 17
I := [2], K := 9, J := [10], L := 17
I := [3], K := 9, J := [10], L := 17
I := [4], K := 9, J := [10], L := 17
I := [5], K := 9, J := [10], L := 17
I := [6], K := 9, J := [10], L := 17
I := [7], K := 9, J := [10], L := 17
I := [8], K := 9, J := [10], L := 17
I := [1], K := 7, J := [11], L := 17
I := [2], K := 7, J := [11], L := 17
I := [3], K := 7, J := [11], L := 17
I := [4], K := 7, J := [11], L := 17
I := [5], K := 7, J := [11], L := 17
I := [6], K := 7, J := [11], L := 17
I := [2], K := 8, J := [11], L := 17
I := [3], K := 8, J := [11], L := 17
I := [4], K := 8, J := [11], L := 17
I := [5], K := 8, J := [11], L := 17
I := [6], K := 8, J := [11], L := 17
I := [7], K := 8, J := [11], L := 17
I := [3], K := 9, J := [11], L := 17
I := [4], K := 9, J := [11], L := 17
I := [5], K := 9, J := [11], L := 17
I := [6], K := 9, J := [11], L := 17
I := [7], K := 9, J := [11], L := 17
I := [8], K := 9, J := [11], L := 17
I := [4], K := 10, J := [11], L := 17
I := [5], K := 10, J := [11], L := 17
I := [6], K := 10, J := [11], L := 17
I := [7], K := 10, J := [11], L := 17
I := [8], K := 10, J := [11], L := 17
I := [9], K := 10, J := [11], L := 17
I := [1], K := 6, J := [12], L := 17
I := [2], K := 6, J := [12], L := 17
I := [3], K := 6, J := [12], L := 17
I := [4], K := 6, J := [12], L := 17
I := [5], K := 6, J := [12], L := 17
I := [2], K := 7, J := [12], L := 17
I := [3], K := 7, J := [12], L := 17
I := [4], K := 7, J := [12], L := 17
I := [5], K := 7, J := [12], L := 17
I := [6], K := 7, J := [12], L := 17
I := [3], K := 8, J := [12], L := 17
I := [4], K := 8, J := [12], L := 17
I := [5], K := 8, J := [12], L := 17
I := [6], K := 8, J := [12], L := 17
I := [7], K := 8, J := [12], L := 17
I := [4], K := 9, J := [12], L := 17
I := [5], K := 9, J := [12], L := 17
I := [6], K := 9, J := [12], L := 17
I := [7], K := 9, J := [12], L := 17
I := [8], K := 9, J := [12], L := 17
I := [5], K := 10, J := [12], L := 17
I := [6], K := 10, J := [12], L := 17
I := [7], K := 10, J := [12], L := 17
I := [8], K := 10, J := [12], L := 17
I := [9], K := 10, J := [12], L := 17
I := [6], K := 11, J := [12], L := 17
I := [7], K := 11, J := [12], L := 17
I := [8], K := 11, J := [12], L := 17
I := [9], K := 11, J := [12], L := 17
I := [10], K := 11, J := [12], L := 17
I := [1], K := 5, J := [13], L := 17
I := [2], K := 5, J := [13], L := 17
I := [3], K := 5, J := [13], L := 17
I := [4], K := 5, J := [13], L := 17
I := [2], K := 6, J := [13], L := 17
I := [3], K := 6, J := [13], L := 17
I := [4], K := 6, J := [13], L := 17
I := [5], K := 6, J := [13], L := 17
I := [3], K := 7, J := [13], L := 17
I := [4], K := 7, J := [13], L := 17
I := [5], K := 7, J := [13], L := 17
I := [6], K := 7, J := [13], L := 17
I := [4], K := 8, J := [13], L := 17
I := [5], K := 8, J := [13], L := 17
I := [6], K := 8, J := [13], L := 17
I := [7], K := 8, J := [13], L := 17
I := [5], K := 9, J := [13], L := 17
I := [6], K := 9, J := [13], L := 17
I := [7], K := 9, J := [13], L := 17
I := [8], K := 9, J := [13], L := 17
I := [6], K := 10, J := [13], L := 17
I := [7], K := 10, J := [13], L := 17
I := [8], K := 10, J := [13], L := 17
I := [9], K := 10, J := [13], L := 17
I := [7], K := 11, J := [13], L := 17
I := [8], K := 11, J := [13], L := 17
I := [9], K := 11, J := [13], L := 17
I := [10], K := 11, J := [13], L := 17
I := [8], K := 12, J := [13], L := 17
I := [9], K := 12, J := [13], L := 17
I := [10], K := 12, J := [13], L := 17
I := [11], K := 12, J := [13], L := 17
I := [1], K := 4, J := [14], L := 17
I := [2], K := 4, J := [14], L := 17
